x,y
,
3,0.01136363636
5,0.02272727273
9,0.03409090909
11,0.04545454545
16,0.05681818182
17,0.06818181818
21,0.07954545455
23,0.09090909091
23,0.1022727273
23,0.1136363636
25,0.125
28,0.1363636364
30,0.1477272727
32,0.1590909091
33,0.1704545455
34,0.1818181818
36,0.1931818182
36,0.2045454545
42,0.2159090909
43,0.2272727273
44,0.2386363636
44,0.25
44,0.2613636364
45,0.2727272727
45,0.2840909091
47,0.2954545455
47,0.3068181818
48,0.3181818182
49,0.3295454545
50,0.3409090909
50,0.3522727273
52,0.3636363636
53,0.375
54,0.3863636364
56,0.3977272727
56,0.4090909091
57,0.4204545455
65,0.4318181818
69,0.4431818182
70,0.4545454545
71,0.4659090909
72,0.4772727273
76,0.4886363636
76,0.5
83,0.5113636364
86,0.5227272727
87,0.5340909091
92,0.5454545455
94,0.5568181818
99,0.5681818182
104,0.5795454545
106,0.5909090909
109,0.6022727273
110,0.6136363636
111,0.625
114,0.6363636364
114,0.6477272727
117,0.6590909091
124,0.6704545455
127,0.6818181818
127,0.6931818182
128,0.7045454545
135,0.7159090909
141,0.7272727273
144,0.7386363636
144,0.75
144,0.7613636364
157,0.7727272727
159,0.7840909091
167,0.7954545455
172,0.8068181818
176,0.8181818182
182,0.8295454545
193,0.8409090909
198,0.8522727273
203,0.8636363636
206,0.875
214,0.8863636364
231,0.8977272727
232,0.9090909091
258,0.9204545455
261,0.9318181818
266,0.9431818182
307,0.9545454545
308,0.9659090909
323,0.9772727273
475,0.9886363636
495,1
